TIME     I(1.660000000e+01,1.100000000e+01,12) Vin(2.520000000e+00,2.190000000e+00) 
2.448775000e-03  6.071430000e-01 6.060610000e-02 
2.458770000e-03  6.071430000e-01 6.060610000e-02 
2.468765000e-03  6.071430000e-01 3.030300000e-02 
2.478760000e-03  6.071430000e-01 3.030300000e-02 
2.488755000e-03  4.285710000e-01 0.000000000e+00 
2.498750000e-03  6.071430000e-01 3.030300000e-02 
2.508745000e-03  6.071430000e-01 6.060610000e-02 
2.518740000e-03  6.071430000e-01 6.060610000e-02 
2.528735000e-03  6.071430000e-01 3.030300000e-02 
2.538730000e-03  6.071430000e-01 3.030300000e-02 
2.548725000e-03  6.071430000e-01 3.030300000e-02 
2.558720000e-03  6.071430000e-01 3.030300000e-02 
2.568715000e-03  6.071430000e-01 3.030300000e-02 
2.578710000e-03  6.071430000e-01 3.030300000e-02 
2.588705000e-03  6.071430000e-01 3.030300000e-02 
2.598700000e-03  6.071430000e-01 3.030300000e-02 
2.608695000e-03  6.071430000e-01 3.030300000e-02 
2.618690000e-03  6.071430000e-01 3.030300000e-02 
2.628685000e-03  6.071430000e-01 3.030300000e-02 
2.638680000e-03  6.071430000e-01 3.030300000e-02 
2.648675000e-03  6.071430000e-01 3.030300000e-02 
2.658670000e-03  6.071430000e-01 3.030300000e-02 
2.668665000e-03  6.071430000e-01 3.030300000e-02 
2.678660000e-03  6.071430000e-01 6.060610000e-02 
2.688655000e-03  6.071430000e-01 3.030300000e-02 
2.698650000e-03  6.071430000e-01 3.030300000e-02 
2.708645000e-03  6.071430000e-01 3.030300000e-02 
2.718640000e-03  6.071430000e-01 3.030300000e-02 
2.728635000e-03  6.071430000e-01 3.030300000e-02 
2.738630000e-03  6.071430000e-01 6.060610000e-02 
2.748625000e-03  6.071430000e-01 6.060610000e-02 
2.758620000e-03  6.071430000e-01 6.060610000e-02 
2.768615000e-03  6.071430000e-01 6.060610000e-02 
2.778610000e-03  5.357140000e-01 3.030300000e-02 
2.788605000e-03  6.071430000e-01 3.030300000e-02 
2.798600000e-03  6.071430000e-01 3.030300000e-02 
2.808595000e-03  6.071430000e-01 6.060610000e-02 
2.818590000e-03  6.071430000e-01 3.030300000e-02 
2.828585000e-03  6.071430000e-01 6.060610000e-02 
2.838580000e-03  6.071430000e-01 6.060610000e-02 
2.848575000e-03  6.071430000e-01 3.030300000e-02 
2.858570000e-03  6.071430000e-01 3.030300000e-02 
2.868565000e-03  6.071430000e-01 3.030300000e-02 
2.878560000e-03  6.071430000e-01 6.060610000e-02 
2.888555000e-03  6.071430000e-01 3.030300000e-02 
2.898550000e-03  6.071430000e-01 1.515150000e-01 
2.908545000e-03  6.071430000e-01 4.848480000e-01 
2.918540000e-03  6.071430000e-01 6.969700000e-01 
2.928535000e-03  6.071430000e-01 8.484850000e-01 
2.938530000e-03  6.071430000e-01 9.090910000e-01 
2.948525000e-03  6.071430000e-01 9.393940000e-01 
2.958520000e-03  6.071430000e-01 9.393940000e-01 
2.968515000e-03  5.714290000e-01 9.696970000e-01 
2.978510000e-03  5.714290000e-01 9.696970000e-01 
2.988505000e-03  5.714290000e-01 9.696970000e-01 
2.998500000e-03  5.357140000e-01 9.696970000e-01 
3.008495000e-03  5.357140000e-01 9.696970000e-01 
3.018490000e-03  5.357140000e-01 9.696970000e-01 
3.028485000e-03  5.357140000e-01 9.696970000e-01 
3.038480000e-03  5.000000000e-01 9.696970000e-01 
3.048475000e-03  5.000000000e-01 9.696970000e-01 
3.058470000e-03  5.000000000e-01 9.696970000e-01 
3.068465000e-03  5.000000000e-01 9.696970000e-01 
3.078460000e-03  5.000000000e-01 9.696970000e-01 
3.088455000e-03  4.642860000e-01 9.696970000e-01 
3.098450000e-03  4.642860000e-01 9.696970000e-01 
3.108445000e-03  4.642860000e-01 9.696970000e-01 
3.118440000e-03  4.642860000e-01 9.696970000e-01 
3.128435000e-03  4.285710000e-01 9.696970000e-01 
3.138430000e-03  4.285710000e-01 9.696970000e-01 
3.148425000e-03  4.285710000e-01 9.696970000e-01 
3.158420000e-03  4.285710000e-01 9.696970000e-01 
3.168415000e-03  4.285710000e-01 9.696970000e-01 
3.178410000e-03  4.285710000e-01 9.696970000e-01 
3.188405000e-03  3.928570000e-01 9.696970000e-01 
3.198400000e-03  3.928570000e-01 9.696970000e-01 
3.208395000e-03  3.928570000e-01 9.696970000e-01 
3.218390000e-03  3.928570000e-01 9.696970000e-01 
3.228385000e-03  3.571430000e-01 9.696970000e-01 
3.238380000e-03  3.571430000e-01 9.393940000e-01 
3.248375000e-03  3.571430000e-01 9.696970000e-01 
3.258370000e-03  3.571430000e-01 9.696970000e-01 
3.268365000e-03  3.571430000e-01 9.393940000e-01 
3.278360000e-03  3.571430000e-01 9.696970000e-01 
3.288355000e-03  3.571430000e-01 9.393940000e-01 
3.298350000e-03  3.214290000e-01 9.696970000e-01 
3.308345000e-03  3.214290000e-01 9.393940000e-01 
3.318340000e-03  3.214290000e-01 9.696970000e-01 
3.328335000e-03  3.214290000e-01 9.696970000e-01 
3.338330000e-03  3.214290000e-01 9.393940000e-01 
3.348325000e-03  2.857140000e-01 9.696970000e-01 
3.358320000e-03  2.857140000e-01 9.696970000e-01 
3.368315000e-03  2.857140000e-01 9.696970000e-01 
3.378310000e-03  2.857140000e-01 9.696970000e-01 
3.388305000e-03  2.857140000e-01 9.696970000e-01 
3.398300000e-03  2.500000000e-01 9.393940000e-01 
3.408295000e-03  2.500000000e-01 9.393940000e-01 
3.418290000e-03  2.500000000e-01 9.696970000e-01 
3.428285000e-03  2.500000000e-01 9.393940000e-01 
3.438280000e-03  2.500000000e-01 9.696970000e-01 
3.448275000e-03  2.500000000e-01 9.696970000e-01 
3.458270000e-03  2.142860000e-01 9.696970000e-01 
3.468265000e-03  2.142860000e-01 9.393940000e-01 
3.478260000e-03  2.142860000e-01 9.696970000e-01 
3.488255000e-03  2.142860000e-01 9.696970000e-01 
3.498250000e-03  2.142860000e-01 9.393940000e-01 
3.508245000e-03  1.785710000e-01 9.696970000e-01 
3.518240000e-03  1.785710000e-01 9.696970000e-01 
3.528235000e-03  1.785710000e-01 9.696970000e-01 
3.538230000e-03  1.785710000e-01 9.696970000e-01 
3.548225000e-03  1.785710000e-01 9.696970000e-01 
3.558220000e-03  1.785710000e-01 9.696970000e-01 
3.568215000e-03  1.785710000e-01 9.393940000e-01 
3.578210000e-03  1.785710000e-01 9.696970000e-01 
3.588205000e-03  1.428570000e-01 9.696970000e-01 
3.598200000e-03  1.428570000e-01 9.696970000e-01 
3.608195000e-03  1.428570000e-01 9.696970000e-01 
3.618190000e-03  1.428570000e-01 9.696970000e-01 
3.628185000e-03  1.428570000e-01 9.696970000e-01 
3.638180000e-03  1.428570000e-01 9.696970000e-01 
3.648175000e-03  1.428570000e-01 9.696970000e-01 
3.658170000e-03  1.428570000e-01 9.696970000e-01 
3.668165000e-03  1.428570000e-01 9.696970000e-01 
3.678160000e-03  1.071430000e-01 9.393940000e-01 
3.688155000e-03  1.071430000e-01 9.696970000e-01 
3.698150000e-03  1.071430000e-01 9.393940000e-01 
3.708145000e-03  1.071430000e-01 9.696970000e-01 
3.718140000e-03  1.071430000e-01 9.696970000e-01 
3.728135000e-03  1.071430000e-01 9.696970000e-01 
3.738130000e-03  1.071430000e-01 9.696970000e-01 
3.748125000e-03  1.071430000e-01 9.696970000e-01 
3.758120000e-03  1.071430000e-01 9.696970000e-01 
3.768115000e-03  1.071430000e-01 9.696970000e-01 
3.778110000e-03  1.071430000e-01 9.696970000e-01 
3.788105000e-03  1.071430000e-01 9.696970000e-01 
3.798100000e-03  1.071430000e-01 9.393940000e-01 
3.808095000e-03  1.071430000e-01 9.696970000e-01 
3.818090000e-03  1.071430000e-01 9.696970000e-01 
3.828085000e-03  1.071430000e-01 9.696970000e-01 
3.838080000e-03  1.071430000e-01 9.696970000e-01 
3.848075000e-03  1.071430000e-01 9.696970000e-01 
3.858070000e-03  1.071430000e-01 9.393940000e-01 
3.868065000e-03  1.071430000e-01 9.393940000e-01 
3.878060000e-03  1.071430000e-01 9.696970000e-01 
3.888055000e-03  1.071430000e-01 9.696970000e-01 
3.898050000e-03  1.071430000e-01 9.696970000e-01 
3.908045000e-03  1.071430000e-01 9.696970000e-01 
3.918040000e-03  1.071430000e-01 9.696970000e-01 
3.928035000e-03  1.428570000e-01 9.696970000e-01 
3.938030000e-03  1.071430000e-01 9.696970000e-01 
3.948025000e-03  1.428570000e-01 9.696970000e-01 
3.958020000e-03  1.428570000e-01 9.696970000e-01 
3.968015000e-03  1.785710000e-01 9.696970000e-01 
3.978010000e-03  1.428570000e-01 9.393940000e-01 
3.988005000e-03  1.428570000e-01 9.696970000e-01 
3.998000000e-03  1.428570000e-01 9.696970000e-01 
4.007995000e-03  1.428570000e-01 9.696970000e-01 
4.017990000e-03  1.428570000e-01 9.696970000e-01 
4.027985000e-03  1.428570000e-01 9.696970000e-01 
4.037980000e-03  1.428570000e-01 9.696970000e-01 
4.047975000e-03  1.428570000e-01 9.696970000e-01 
4.057970000e-03  1.428570000e-01 9.696970000e-01 
4.067965000e-03  1.428570000e-01 9.696970000e-01 
4.077960000e-03  1.785710000e-01 9.696970000e-01 
4.087955000e-03  1.428570000e-01 9.696970000e-01 
4.097950000e-03  1.785710000e-01 9.696970000e-01 
4.107945000e-03  1.428570000e-01 9.696970000e-01 
4.117940000e-03  1.785710000e-01 9.696970000e-01 
4.127935000e-03  3.214290000e-01 1.000000000e+00 
4.137930000e-03  1.785710000e-01 9.393940000e-01 
4.147925000e-03  1.785710000e-01 9.696970000e-01 
4.157920000e-03  1.785710000e-01 9.696970000e-01 
4.167915000e-03  1.785710000e-01 9.696970000e-01 
4.177910000e-03  1.785710000e-01 9.696970000e-01 
4.187905000e-03  1.785710000e-01 9.696970000e-01 
4.197900000e-03  1.785710000e-01 9.393940000e-01 
4.207895000e-03  1.785710000e-01 9.696970000e-01 
4.217890000e-03  1.785710000e-01 9.393940000e-01 
4.227885000e-03  1.785710000e-01 9.696970000e-01 
4.237880000e-03  1.785710000e-01 9.696970000e-01 
4.247875000e-03  1.785710000e-01 9.696970000e-01 
4.257870000e-03  2.142860000e-01 9.696970000e-01 
4.267865000e-03  1.785710000e-01 9.393940000e-01 
4.277860000e-03  1.785710000e-01 9.696970000e-01 
4.287855000e-03  1.785710000e-01 9.696970000e-01 
4.297850000e-03  1.785710000e-01 9.696970000e-01 
4.307845000e-03  2.142860000e-01 9.393940000e-01 
4.317840000e-03  1.785710000e-01 9.696970000e-01 
4.327835000e-03  1.785710000e-01 9.696970000e-01 
4.337830000e-03  2.142860000e-01 9.696970000e-01 
4.347825000e-03  2.142860000e-01 9.696970000e-01 
4.357820000e-03  2.142860000e-01 9.696970000e-01 
4.367815000e-03  2.142860000e-01 9.696970000e-01 
4.377810000e-03  2.142860000e-01 9.696970000e-01 
4.387805000e-03  2.142860000e-01 9.696970000e-01 
4.397800000e-03  2.142860000e-01 9.696970000e-01 
4.407795000e-03  2.142860000e-01 9.696970000e-01 
4.417790000e-03  2.142860000e-01 9.696970000e-01 
4.427785000e-03  2.142860000e-01 9.696970000e-01 
4.437780000e-03  2.142860000e-01 9.696970000e-01 
4.447775000e-03  2.142860000e-01 9.696970000e-01 
4.457770000e-03  2.142860000e-01 9.696970000e-01 
4.467765000e-03  2.142860000e-01 9.696970000e-01 
4.477760000e-03  2.142860000e-01 9.696970000e-01 
4.487755000e-03  1.785710000e-01 9.696970000e-01 
4.497750000e-03  2.142860000e-01 9.696970000e-01 
4.507745000e-03  2.142860000e-01 9.696970000e-01 
4.517740000e-03  1.785710000e-01 9.393940000e-01 
4.527735000e-03  1.785710000e-01 9.696970000e-01 
4.537730000e-03  2.142860000e-01 9.696970000e-01 
4.547725000e-03  1.785710000e-01 9.696970000e-01 
4.557720000e-03  2.142860000e-01 9.393940000e-01 
4.567715000e-03  2.142860000e-01 9.696970000e-01 
